contract,status,wall clock time (h:)m:ss,input-type,abi,execs,wall clock time (h:)m:ss,coverage,execs_per_sec,queue,bugtypes,crashes,run_unix,bugs
0x69640F28B6FE4aE4674EFDBe21Aa15d048bb914B,success,0:01.74,,True,94360.0,0:01.74,74.13793103448276,94360.0,39,1,3,1.0,"[BUG] balance gain | 10 wei (compare total 37662610412320084583014736539245998496614132666784207077386 > 37662610412320084583014736539245998496614132666784207077376 wei expected)
[BUG] balance gain | 10 wei (compare total 37662610412320084583014736539245998496614132666784207077386 > 37662610412320084583014736539245998496614132666784207077376 wei expected)
[BUG] balance gain | 10 wei (compare total 37662610412320084583014736539245998496614132666784207077386 > 37662610412320084583014736539245998496614132666784207077376 wei expected)"
0x6C1BCB34142BFfD35f57dB626E0aC427AF616a4D,success,25:00.06,,True,29586148.0,25:00.06,57.69230769230769,19724.098666666665,498,1,,1500.0,
0x6C1BCB34142BFfD35f57dB626E0aC427AF616a4D,success,20:00.09,,True,15685240.0,20:00.09,57.69230769230769,13071.033333333333,392,1,,1200.0,
0x6C1BCB34142BFfD35f57dB626E0aC427AF616a4D,success,25:00.09,,True,2532338.0,25:00.09,55.98290598290598,1688.2253333333333,225,1,,1500.0,
0x7b203459EB87Fbf70ca42624B4304dc24EDE9c50,success,25:00.07,,True,36948910.0,25:00.07,58.35411471321696,24632.606666666667,611,1,,1500.0,
0x7b203459EB87Fbf70ca42624B4304dc24EDE9c50,success,25:00.08,,True,51371805.0,25:00.08,58.35411471321696,34247.87,613,1,,1500.0,
0x7b203459EB87Fbf70ca42624B4304dc24EDE9c50,success,20:00.07,,True,39828404.0,20:00.07,58.35411471321696,33190.33666666667,602,1,,1200.0,
0x8B168e46281e72d410717b27A6ca97Bf9F301173,success,25:00.07,,True,54200842.0,25:00.07,78.03030303030303,36133.89466666667,710,1,,1500.0,
0x8B168e46281e72d410717b27A6ca97Bf9F301173,success,20:00.06,,True,36192411.0,20:00.06,78.03030303030303,30160.3425,656,1,,1200.0,
0x8B168e46281e72d410717b27A6ca97Bf9F301173,success,25:00.07,,True,39019006.0,25:00.07,78.03030303030303,26012.670666666665,583,1,,1500.0,
0xA395480A4A90c7066c8ddB5db83E2718E750641C,success,25:00.02,,True,18271981.0,25:00.02,61.64383561643836,12181.320666666667,342,1,,1500.0,
0xA395480A4A90c7066c8ddB5db83E2718E750641C,success,20:00.06,,True,21988810.0,20:00.06,61.64383561643836,18324.008333333335,327,1,,1200.0,
0xA395480A4A90c7066c8ddB5db83E2718E750641C,success,25:00.10,,True,19758139.0,25:00.10,61.64383561643836,13172.092666666667,334,1,,1500.0,
0xBd10c70e94aCA5c0b9Eb434A62f2D8444Ec0649D,success,25:00.07,,True,38326182.0,25:00.07,83.20610687022901,25550.788,609,1,,1500.0,
0xBd10c70e94aCA5c0b9Eb434A62f2D8444Ec0649D,success,20:00.06,,True,33944059.0,20:00.06,83.20610687022901,28286.715833333332,677,1,,1200.0,
0xBd10c70e94aCA5c0b9Eb434A62f2D8444Ec0649D,success,25:00.05,,True,44908789.0,25:00.05,83.20610687022901,29939.192666666666,763,1,,1500.0,
0xE610AF01F92f19679327715B426c35849C47c657,success,11:32.74,,True,8153426.0,11:32.74,85.3658536585366,11782.407514450868,356,1,2,692.0,"[BUG] balance gain | 256 wei (compare total 37662610412320084583014736539245998496614132666784207077632 > 37662610412320084583014736539245998496614132666784207077376 wei expected)
[BUG] balance gain | 256 wei (compare total 37662610412320084583014736539245998496614132666784207077632 > 37662610412320084583014736539245998496614132666784207077376 wei expected)"
0xE610AF01F92f19679327715B426c35849C47c657,success,6:00.49,,True,5666254.0,6:00.49,85.3658536585366,15739.594444444445,367,1,1,360.0,[BUG] balance gain | 3676021727847891447 wei (compare total 37662610412320084583014736539245998496617808688512054968823 > 37662610412320084583014736539245998496614132666784207077376 wei expected)
0xE610AF01F92f19679327715B426c35849C47c657,success,12:47.82,,True,9868179.0,12:47.82,85.3658536585366,12865.943937418513,397,1,2,767.0,"[BUG] balance gain | 108278179835986 wei (compare total 37662610412320084583014736539245998496614132775062386913362 > 37662610412320084583014736539245998496614132666784207077376 wei expected)
[BUG] balance gain | 108278179835986 wei (compare total 37662610412320084583014736539245998496614132775062386913362 > 37662610412320084583014736539245998496614132666784207077376 wei expected)"
0xEf86dB910c71FfA3C80233Bc9108Dc51Ad1E008A,success,25:00.08,,True,39767909.0,25:00.08,84.68468468468468,26511.939333333332,959,1,,1500.0,
0xEf86dB910c71FfA3C80233Bc9108Dc51Ad1E008A,success,25:00.08,,True,36895358.0,25:00.08,84.68468468468468,24596.905333333332,818,1,,1500.0,
0xEf86dB910c71FfA3C80233Bc9108Dc51Ad1E008A,success,20:00.09,,True,40509345.0,20:00.09,84.68468468468468,33757.7875,769,1,,1200.0,
0xaa12936a79848938770bDBC5da0d49Fe986678cc,success,25:00.03,,True,24738507.0,25:00.03,78.94736842105264,16492.338,333,1,,1500.0,
0xaa12936a79848938770bDBC5da0d49Fe986678cc,success,20:00.03,,True,21568804.0,20:00.03,78.94736842105264,17974.003333333334,325,1,,1200.0,
0xaa12936a79848938770bDBC5da0d49Fe986678cc,success,25:00.07,,True,23524552.0,25:00.07,78.94736842105264,15683.034666666666,330,1,,1500.0,
0xb29405833e303db3193CF7c058e2C81eF027C6C8,success,25:00.02,,True,32333523.0,25:00.02,72.35772357723577,21555.682,351,1,,1500.0,
0xb29405833e303db3193CF7c058e2C81eF027C6C8,success,20:00.03,,True,24827823.0,20:00.03,72.35772357723577,20689.8525,385,1,,1200.0,
0xb29405833e303db3193CF7c058e2C81eF027C6C8,success,25:00.06,,True,32380349.0,25:00.06,72.35772357723577,21586.899333333335,366,1,,1500.0,
0xc477042db387DD59C038Ca4b829a07964b674347,success,25:00.13,,True,34202116.0,25:00.13,72.51908396946564,22801.410666666667,499,1,,1500.0,
0xc477042db387DD59C038Ca4b829a07964b674347,success,25:00.10,,True,34454608.0,25:00.10,72.51908396946564,22969.738666666668,424,1,,1500.0,
0xc477042db387DD59C038Ca4b829a07964b674347,success,20:00.10,,True,35189364.0,20:00.10,72.51908396946564,29324.47,447,1,,1200.0,
0xcc1A13B76270A20A78F3beF434BDEB4a5eeC6a31,success,25:00.07,,True,35042082.0,25:00.07,81.437125748503,23361.388,676,1,,1500.0,
0xcc1A13B76270A20A78F3beF434BDEB4a5eeC6a31,success,20:00.05,,True,29142944.0,20:00.05,81.437125748503,24285.786666666667,508,1,,1200.0,
