contract,mode,status,total_execs_done,queue - Number of unique TX sequences,total_crashes,evm-coverage,bugtypes,average_execs_per_sec,wall clock time (h:)m:ss,total_hangs,time,crashes - Number of unique TX sequences,hardcoded address,cumulative_execs_per_sec,bugs,total_time,log
justlen128,mode-2AT,success,2194087,475,1,82.64462809917356,1,26984,0:36.16,0,21,1,1,107938,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,81,<NO LOG>
justlen128,mode-2AT,success,3576102,625,2,82.64462809917356,1,23446,0:55.36,0,38,2,1,93787,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",152,<NO LOG>
justlen128,mode-2AT,success,1756030,469,1,82.64462809917356,1,24135,0:33.98,0,16,1,1,96541,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,73,<NO LOG>
justlen128,mode-2AT,success,3371110,558,2,82.64462809917356,1,26814,0:48.73,0,29,1,1,107258,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",125,<NO LOG>
justlen128,mode-2AT,success,4101054,582,2,82.64462809917356,1,27833,0:55.24,0,35,2,1,111334,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",147,<NO LOG>
justlen128,mode-2AT,success,3097131,544,2,82.64462809917356,1,22494,0:52.00,0,32,2,1,89978,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",137,<NO LOG>
justlen128,mode-2AT,success,3563316,585,2,82.64462809917356,1,24445,0:54.23,0,35,2,1,97781,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",146,<NO LOG>
justlen128,mode-2AT,success,2188753,455,1,81.81818181818183,1,23360,0:39.81,0,21,1,1,93441,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,93,<NO LOG>
justlen128,mode-2AT,success,2029629,510,1,81.81818181818183,1,23775,0:38.92,0,19,1,1,95103,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,85,<NO LOG>
