contract,mode,status,average_execs_per_sec,cumulative_execs_per_sec,total_execs_done,time,total_hangs,evm-coverage,bugs,wall clock time (h:)m:ss,crashes - Number of unique TX sequences,hardcoded address,bugtypes,queue - Number of unique TX sequences,total_time,total_crashes,log
justlen128,mode-2AT,success,25044,100177,2243274,23,0,82.64462809917356,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,0:39.19,1,1,1,469,89,1,<NO LOG>
justlen128,mode-2AT,success,25478,101912,3519702,35,0,82.64462809917356,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,0:49.50,1,1,1,495,137,1,<NO LOG>
justlen128,mode-2AT,success,24113,96453,5667585,59,0,82.64462809917356,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1:17.10,1,1,1,569,233,1,<NO LOG>
justlen128,mode-2AT,success,26571,106284,2819800,27,0,82.64462809917356,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,0:43.20,1,1,1,492,105,1,<NO LOG>
justlen128,mode-2AT,success,25756,103025,2421696,24,0,82.64462809917356,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,0:40.84,1,1,1,499,93,1,<NO LOG>
justlen128,mode-2AT,success,27256,109024,3322187,31,0,82.64462809917356,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,0:47.92,1,1,1,497,121,1,<NO LOG>
justlen128,mode-2AT,success,23587,94350,2394514,26,0,80.99173553719008,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,0:41.88,1,1,1,480,101,1,<NO LOG>
justlen128,mode-2AT,success,25483,101932,2796274,28,0,81.81818181818183,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,0:44.48,1,1,1,484,109,1,<NO LOG>
justlen128,mode-2AT,success,21385,85542,1741083,21,0,81.81818181818183,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,0:36.64,1,1,1,455,81,1,<NO LOG>
justlen128,mode-2AT,success,20115,80463,1718856,22,0,81.81818181818183,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",0:38.29,2,1,1,492,85,2,<NO LOG>
justlen256,mode-2AT,success,33030,132122,2843329,22,0,91.74311926605503,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,0:37.73,1,1,1,508,85,1,<NO LOG>
justlen256,mode-2AT,success,23208,92834,4573029,47,0,91.74311926605503,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",1:06.63,1,1,1,529,197,2,<NO LOG>
justlen256,mode-2AT,success,27387,109550,3340612,31,0,91.74311926605503,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,0:48.04,1,1,1,501,121,1,<NO LOG>
justlen256,mode-2AT,success,25184,100736,3662969,34,0,91.74311926605503,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,0:54.36,1,1,1,541,145,1,<NO LOG>
justlen256,mode-2AT,success,24221,96884,3541230,37,0,91.74311926605503,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,0:53.25,1,1,1,495,145,1,<NO LOG>
justlen256,mode-2AT,success,22972,91890,5283622,58,0,91.74311926605503,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1:17.10,1,1,1,584,229,1,<NO LOG>
justlen256,mode-2AT,success,23565,94262,4099544,44,0,91.74311926605503,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1:00.24,1,1,1,498,173,1,<NO LOG>
justlen256,mode-2AT,success,20574,82296,2426772,30,0,91.74311926605503,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,0:47.02,1,1,1,479,117,1,<NO LOG>
justlen256,mode-2AT,success,20054,80217,5155709,62,0,91.74311926605503,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1:23.20,1,1,1,561,257,1,<NO LOG>
justlen256,mode-2AT,success,24716,98866,5291306,54,0,91.74311926605503,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1:11.29,1,1,1,569,213,1,<NO LOG>
justlen64,mode-2AT,success,37506,150024,2008199,14,0,78.125,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,0:29.38,1,1,1,468,53,1,<NO LOG>
justlen64,mode-2AT,success,35031,140126,3554193,23,0,78.125,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",0:42.87,2,1,1,510,101,2,<NO LOG>
justlen64,mode-2AT,success,30651,122607,1395419,12,0,77.34375,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,0:27.04,1,1,1,453,45,1,<NO LOG>
justlen64,mode-2AT,success,32685,130741,1157560,7,0,77.34375,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,0:24.43,1,1,1,425,35,1,<NO LOG>
justlen64,mode-2AT,success,35343,141372,1886559,14,0,78.125,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",0:30.25,2,1,1,449,53,2,<NO LOG>
justlen64,mode-2AT,success,29561,118246,3212321,25,0,78.125,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,0:44.47,1,1,1,508,109,1,<NO LOG>
justlen64,mode-2AT,success,35997,143991,2223155,16,0,78.125,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,0:32.24,1,1,1,487,61,1,<NO LOG>
justlen64,mode-2AT,success,32436,129746,2907102,23,0,78.125,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,0:38.66,1,1,1,515,89,1,<NO LOG>
