contract,mode,status,evm-coverage,bugtypes,average_execs_per_sec,queue - Number of unique TX sequences,total_execs_done,cumulative_execs_per_sec,total_hangs,hardcoded address,time,wall clock time (h:)m:ss,total_time,bugs,crashes - Number of unique TX sequences,total_crashes,log
justlen128,mode-2AT,success,82.64462809917356,1,9553,263,1824804,9553,0,1,191,3:17.53,191,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,<NO LOG>
justlen128,mode-2AT,success,82.64462809917356,1,12949,262,1644607,12949,0,1,127,2:13.17,127,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,<NO LOG>
justlen128,mode-2AT,success,82.64462809917356,1,15157,270,1394495,15157,0,1,92,1:38.06,92,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,<NO LOG>
justlen128,mode-2AT,success,81.81818181818183,1,16677,221,1017303,16677,0,1,61,1:05.85,61,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,<NO LOG>
justlen128,mode-2AT,success,82.64462809917356,1,8513,246,1311153,8513,0,1,154,2:40.09,154,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,<NO LOG>
justlen128,mode-2AT,success,82.64462809917356,1,14684,245,1174746,14684,0,1,80,1:25.91,80,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,<NO LOG>
justlen128,mode-2AT,success,81.81818181818183,1,12489,272,2048314,12489,0,1,164,2:51.00,164,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,<NO LOG>
justlen128,mode-2AT,success,81.81818181818183,1,18055,208,794436,18055,0,1,44,0:48.29,44,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,<NO LOG>
justlen128,mode-2AT,success,82.64462809917356,1,19581,229,979069,19581,0,1,50,0:54.38,50,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,<NO LOG>
justlen128,mode-2AT,success,78.51239669421489,1,20096,215,643098,20096,0,1,32,0:36.26,32,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,<NO LOG>
justlen128,mode-2AT,success,82.64462809917356,1,20027,227,981335,20027,0,1,49,0:53.34,49,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,<NO LOG>
justlen128,mode-2AT,success,82.64462809917356,1,19078,244,1011138,19078,0,1,53,0:57.70,53,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",2,2,<NO LOG>
justlen128,mode-2AT,success,82.64462809917356,1,13919,238,1503346,13919,0,1,108,1:53.79,108,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,<NO LOG>
